Filename,Path,Price,Partname,MOD,Mass,PROFILE,kgCO2eq,
Mk3-ShuttleAdapter.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Mk3-ShuttleAdapter.cfg,2500,adapterEngines,Squad,0.7,Structural,1456,
adapterLargeSmallBi.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Structural/stackAdapters/adapterLargeSmallBi.cfg,400,adapterLargeSmallBi,Squad,0.1,Structural,208,
adapterLargeSmallBi.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Structural/adapterLargeSmallBi_v1/adapterLargeSmallBi.cfg,400,adapterLargeSmallBi,Squad,0.1,Structural,-1,
adapterLargeSmallQuad.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Structural/stackAdapters/adapterLargeSmallQuad.cfg,800,adapterLargeSmallQuad,Squad,0.2,Structural,416,
adapterLargeSmallQuad.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Structural/adapterLargeSmallQuad_v1/adapterLargeSmallQuad.cfg,800,adapterLargeSmallQuad,Squad,0.2,Structural,-1,
adapterLargeSmallTri.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Structural/stackAdapters/adapterLargeSmallTri.cfg,600,adapterLargeSmallTri,Squad,0.15,Structural,312,
adapterLargeSmallTri.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Structural/adapterLargeSmallTri_v1/adapterLargeSmallTri.cfg,600,adapterLargeSmallTri,Squad,0.15,Structural,-1,
Mk3-Mk2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Mk3-Mk2.cfg,1282,adapterMk3-Mk2,Squad,1.43,Tank,2974.4,
Mk3-Size2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Mk3-Size2.cfg,1352.5,adapterMk3-Size2,Squad,1.79,Tank,3723.2,
Mk3-Size2Slant.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Mk3-Size2Slant.cfg,1352.5,adapterMk3-Size2Slant,Squad,1.79,Tank,3723.2,
